meeting_id,caption,speaker,caption_group_id,st,en
0,Make sure {gap} my things here .,User Interface,27,141841,143761
0,Uh-oh .,User Interface,27,143961,144381
0,Right .,User Interface,27,144581,145001
0,"Okay , my favourite animal is {disfmarker} see .",User Interface,27,145201,148081
0,{vocalsound} Oops .,User Interface,27,148281,149421
0,A dolphin .,Project Manager,28,149621,150281
0,"Yeah , it's {vocalsound} {disfmarker}",User Interface,29,150481,152701
0,{vocalsound},Industrial Designer,30,152901,153621
0,{vocalsound} 'S like playing Pictionary .,Project Manager,31,153821,156281
0,"{vocalsound} Yeah , I guess it has a fin on top too , yeah .",User Interface,32,156481,160081
0,{vocalsound} It's my dolphin .,User Interface,32,160281,162081
0,{vocalsound} So what characteristics do you like about your animal ?,Project Manager,33,162281,166361
0,{vocalsound},Project Manager,33,166561,167281
0,{vocalsound},Industrial Designer,34,167481,168201
0,I like its tail .,User Interface,35,168401,169421
0,{vocalsound},Industrial Designer,36,169621,170341
0,"{vocalsound} Um , no , I think dolphins are really uh {disfmarker} I dunno , they're smart and they they're cute and they like swimming and that's cool , like {disfmarker}",User Interface,37,170541,180801
0,{vocalsound} They're graceful .,Project Manager,38,181001,182861
0,"they're graceful yeah , and they're so {disfmarker}",User Interface,39,183061,186121
0,Sleek {vocalsound} .,Project Manager,40,186321,187521
0,{vocalsound} Yeah they're sleek,User Interface,41,187721,189581
0,{vocalsound},Industrial Designer,42,189781,190501
0,"and they look intelligent and I don't know , they're {disfmarker} I guess it's the whole like binocular vision thing .",User Interface,43,190701,197781
0,I don't know how intelligent that one looks {vocalsound} .,Project Manager,44,197981,201461
0,{vocalsound},Industrial Designer,45,201661,202381
0,Yeah he he doesn't look that smart {vocalsound} .,User Interface,46,202581,205521
0,"He's a {disfmarker} {vocalsound} I dunno um they're {disfmarker} I think it's cool the the um {vocalsound} the interaction that or the th things that {disfmarker} the reasons people seem to like you know {disfmarker} you get ex you know people are sitting on the beach and p they're like oh look there's dolphins and it's kinda like {vocalsound} {disfmarker} but they're you know they jump around in the water and they're happy and they're mammals , but they swim .",User Interface,46,205721,233621
0,{gap} {vocalsound},User Interface,46,233821,234901
0,Yes .,Project Manager,47,235101,235401
0,{vocalsound} Does anybody else wanna draw their animal ?,Project Manager,47,235601,238961
0,"Suppose I can draw an animal , yeah .",Industrial Designer,48,239161,241381
0,{vocalsound} {vocalsound} .,Project Manager,49,241581,243201
0,{vocalsound},User Interface,50,243401,244121
0,Uh-oh there goes the ten .,Project Manager,51,244321,245881
0,{vocalsound} Yeah .,Industrial Designer,52,246081,247221
0,{vocalsound} It's a cat .,Project Manager,53,247421,248921
0,{vocalsound},Project Manager,53,249121,249841
0,{vocalsound},User Interface,54,250041,250761
0,I don't know .,Industrial Designer,55,250961,251801
0,"They sleep all day , {vocalsound} they're easy to draw {vocalsound} .",Industrial Designer,55,252001,256141
0,{vocalsound} Do you wanna {gap} anything ?,Project Manager,56,256341,258861
0,Uh yeah .,Marketing,57,259061,259601
0,I dunno if the the {disfmarker},Project Manager,58,259801,261661
0,I think the pen is running out of {disfmarker},Industrial Designer,59,261861,264621
0,"Well I had the cat as well , but uh I've got a spare one .",Marketing,60,264821,268301
0,ah .,Project Manager,61,268501,268741
0,{vocalsound},User Interface,62,268941,269661
0,{vocalsound},Industrial Designer,63,269861,270581
0,So I'll use the spare one .,Marketing,64,270781,272401
0,Um but it's harder to draw {gap} um .,Marketing,64,272601,274821
0,And the pen's dying {vocalsound} .,User Interface,65,275021,277061
0,Um .,Marketing,66,277261,277501
0,A horse .,Project Manager,67,277701,278241
0,Horse .,User Interface,68,278441,278861
0,Uh .,Marketing,69,279061,279301
0,"Um I don't {vocalsound} really know how the legs go ,",Marketing,69,279501,282681
0,{vocalsound},Industrial Designer,70,282881,283601
0,That's very good .,Project Manager,71,283801,284881
0,{vocalsound},Industrial Designer,72,285081,285801
0,but anyway I will do that .,Marketing,73,286001,287621
0,"Um , and the main reason is they're pretty .",Marketing,73,287821,290461
0,"I think they're very pretty and they go well with the environment , and I like the way they run and I used to do horse riding and they're just very sort of sturdy and nice animals .",Marketing,73,290661,301521
0,"And I like the way um they feel , sort of under under the hand , I think that's pretty much it .",Marketing,73,301721,307481
0,Um {disfmarker},Marketing,73,307681,308581
0,{gap} Yeah .,Project Manager,74,308781,309501
0,This cord's {disfmarker} {gap} Uh .,Project Manager,74,309701,311801
0,Right .,Project Manager,74,312001,312421
0,Actually I haven't thought of anything yet {vocalsound} .,Project Manager,74,312621,316041
0,Uh {disfmarker} It's a pig .,Project Manager,74,316241,317921
0,{vocalsound},Industrial Designer,75,318121,318841
0,{vocalsound},Marketing,76,319041,319761
0,"{vocalsound} So I'm thinking we should design a remote control that's water resistant , strong and furry .",Project Manager,77,319961,326321
0,"What do you think , yeah ?",Project Manager,77,326521,328081
0,This is {disfmarker},Project Manager,77,328281,329481
0,And furry .,User Interface,78,329681,330341
0,"yeah , well like a cat , you know , soft yeah .",Project Manager,79,330541,333361
0,{vocalsound},Industrial Designer,80,333561,334281
0,"Textile {disfmarker} tactile , {vocalsound} tactile remote control .",User Interface,81,334481,338561
0,{vocalsound},Marketing,82,338761,339481
0,{vocalsound} Although {disfmarker} uh I'll just put there .,Project Manager,83,339681,343221
0,Right .,Project Manager,83,343421,343841
0,You're dragging a {disfmarker} you have a tail {vocalsound} .,User Interface,84,344041,347701
0,"{gap} Oh my gosh , this is disastrous .",Project Manager,85,347901,350241
0,Sorry about that .,Project Manager,85,350441,351521
0,{vocalsound} Okay .,Project Manager,85,351721,352861
0,{vocalsound} So moving on .,Project Manager,85,353061,354681
0,Our selling price goal is twenty five Euro and profit aim is fifty million Euro .,Project Manager,85,354881,359741
0,"So I'm guessing that we're not actually in Scotland , we're in some European country {vocalsound} .",Project Manager,85,359941,365881
0,"Um , and we will hope to sell this internationally .",Project Manager,85,366081,369201
0,Sorry can you just say that {disfmarker} what's the {disfmarker} what are our price goals again ?,User Interface,86,369401,375221
0,Um selling price is twenty five Euro .,Project Manager,87,375421,377701
0,Profit aim fifty million Euro .,Project Manager,87,377901,379761
0,Okay .,User Interface,88,379961,380321
0,How many should we sell then ?,Marketing,89,380521,382321
0,"{vocalsound} Um , a lot ,",Marketing,89,382521,384021
0,Anyone a mathematician ?,Project Manager,90,384221,385661
0,{vocalsound},Project Manager,90,385861,386581
0,"two two two million , {gap} two mi no , more f four million .",Marketing,91,386781,390441
0,Two million .,Industrial Designer,92,390641,391421
0,Four million .,Marketing,93,391621,392461
0,And it {disfmarker},Marketing,93,392661,393801
0,{vocalsound},Industrial Designer,94,394001,394721
0,"well it's the profit so if a profit for each is twelve fifty , that'll do four million .",Marketing,95,394921,400201
0,"Oh , yeah .",Industrial Designer,96,400401,401061
0,{vocalsound} It is a lot .,Marketing,97,401261,402821
0,Uh .,Marketing,97,403021,403261
0,So f that's a fifty percent um uh .,Project Manager,98,403461,405561
0,"Um , I don't know what these mean because I didn't actually make the slide-show .",Project Manager,98,405761,410621
0,Experience with remote control .,Project Manager,98,410821,412741
0,"So I guess we have to reflect on our experiences with remote controls to decide what um we would like to see in a convenient , practical , nice remote control .",Project Manager,98,412941,422541
0,Um so do we have any initial ideas for uh how this remote control should be designed or formatted or the the buttons it should have .,Project Manager,98,422741,430721
0,"Um , I think one thing is that it should be easy to find",Marketing,99,430921,434281
0,{vocalsound},Industrial Designer,100,434481,435201
0,I was thinking that too .,User Interface,101,435401,436901
0,bec yeah {vocalsound} bec,Marketing,102,437101,438601
0,Yeah .,Project Manager,103,438801,439161
0,"I think we should design something that has like a {disfmarker} so you can {disfmarker} like somehow like you {disfmarker} I mean you always know where your T_V_ is , so just have a call button ,",User Interface,104,439361,451061
0,{vocalsound},Industrial Designer,105,451261,451981
0,"I've always wanted that ,",User Interface,106,452181,453681
0,Yeah .,Project Manager,107,453881,454241
0,so like {vocalsound} you can push a button on your T_V_ {disfmarker},User Interface,108,454441,458521
0,"Yeah , yeah yeah yeah yeah .",Marketing,109,458721,460401
0,"I mean you have it for the portable phone , so why not {disfmarker} yeah .",Project Manager,110,460601,465041
0,"Yeah , yeah yeah yeah , so you should have a call button on your television to be able to find your remote control .",User Interface,111,465241,472201
0,Yeah .,Marketing,112,472401,472761
0,And even I think a little light .,Marketing,112,472961,474941
0,Um or even a {disfmarker} maybe a vib a vibrating thing .,Marketing,112,475141,478561
0,I dunno but someth because it's usually under the sofa .,Marketing,112,478761,482121
0,{vocalsound},Industrial Designer,113,482321,483041
0,Yeah .,User Interface,114,483241,483601
0,Yeah .,User Interface,114,483801,484161
0,In which case you're going to be l but if it has a sort of signal which isn't any sound {disfmarker},Marketing,115,484361,490361
0,Yeah .,User Interface,116,490561,490921
0,I don't know if it's expensive maybe to {disfmarker},Marketing,117,491121,494241
0,I don't {disfmarker} yeah I mean it {disfmarker} but like I mean {disfmarker},User Interface,118,494441,499061
0,Maybe call is enough .,Marketing,119,499261,500581
0,But yeah .,Marketing,119,500781,501381
0,"just I mean like your phone even just has so {disfmarker} like it can vibrate , it can light up and make noise and I dunno {vocalsound}",User Interface,120,501581,509681
0,Yeah yeah yeah .,Marketing,121,509881,510841
0,Yeah .,Marketing,121,511041,511401
0,What if it had something like um just like a magnet on the back of it and you could {disfmarker} I mean j just to have some place to put it besides like a base .,Project Manager,122,511601,521261
0,"You know like a portable phone has a base ,",Project Manager,122,521461,524041
0,Yeah .,User Interface,123,524241,524601
0,"Yeah , or if it had a {disfmarker} yeah .",User Interface,123,524801,527261
0,like just to have a home for it .,Project Manager,124,527461,529441
0,{vocalsound},Industrial Designer,125,529641,530361
0,Yeah yeah yeah yeah .,Marketing,126,530561,531821
0,"Yeah ,",User Interface,127,532021,532381
0,"{vocalsound} 'Cause people just stick it on top of their T_V_ , but the point of having a remote is not to have to walk over to the T_V_ , so {disfmarker}",Project Manager,128,532581,541821
0,I mean {disfmarker},User Interface,129,542021,543161
0,{vocalsound} Well that's why it's always in the couch .,Industrial Designer,130,543361,546661
0,Yeah .,User Interface,131,546861,547221
0,Yeah {vocalsound} .,Project Manager,132,547421,548561
0,"Yeah , in in the couch {vocalsound} .",User Interface,133,548761,550981
0,{vocalsound},Marketing,134,551181,551901
0,{gap},Project Manager,135,552101,552401
0,"I dunno , it seems like though that that would be hard , 'cause you not you're not gonna be lazy anyway and {disfmarker}",User Interface,136,552601,559801
0,Yeah .,Project Manager,137,560001,560361
0,Maybe we should design couches that have the remote control in the side arm .,Project Manager,137,560561,565181
0,{vocalsound},Project Manager,137,565381,566101
0,{vocalsound} {vocalsound},Industrial Designer,138,566301,567801
0,Yeah so we {disfmarker} {vocalsound} the project is now couches and remote controls .,User Interface,139,568001,573101
0,"{vocalsound} But even just a thing to attach it to the w you know if you had a thing , a pretty object attached to the wall .",Marketing,140,573301,580801
0,But that would really make it more expensive .,Marketing,140,581001,583761
0,Yeah .,User Interface,141,583961,584321
0,"But it's only a plastic thing , r really , the thing on the wall .",Marketing,142,584521,588481
0,Yeah .,Project Manager,143,588681,589041
0,Yeah .,User Interface,144,589241,589601
0,Something like that .,Marketing,145,589801,591061
0,"Do you think it needs to be bigger to not lose , or does that not factor in ?",Project Manager,146,591261,595881
0,And the other thing is {disfmarker},Marketing,147,596081,598181
0,Bigger .,User Interface,148,598381,598861
0,Not {disfmarker} well it needs to be sort of {disfmarker},Marketing,149,599061,602481
0,"Like Hand hand held size , yeah .",Project Manager,150,602681,604661
0,Hand-sized .,User Interface,151,604861,605581
0,Yeah .,Marketing,152,605781,606141
0,I don't think you need a {disfmarker},Marketing,152,606341,608561
0,"Not not huge , but {vocalsound}",Project Manager,153,608761,610621
0,{vocalsound},Industrial Designer,154,610821,611541
0,But definitely not {disfmarker} well I don't know .,Marketing,155,611741,614801
0,It can't be that hard to put some kind of a noise on it .,User Interface,156,615001,618421
0,"No , it can't be , uh-uh .",Marketing,157,618621,620181
0,No it really wouldn't be .,Industrial Designer,158,620381,621941
0,Huh .,Project Manager,159,622141,622441
0,Or like or like a light thing .,User Interface,160,622641,624501
0,You know .,User Interface,160,624701,625301
0,I dunno {vocalsound},User Interface,160,625501,626701
0,{vocalsound},Industrial Designer,161,626901,627621
0,{vocalsound} Like spaceship .,Marketing,162,627821,629561
0,.,User Interface,163,629761,629821
0,Yeah {vocalsound} .,User Interface,163,630021,631161
0,Or make it mobile so it runs around and comes come find you yeah {vocalsound} .,User Interface,163,631361,636101
0,{vocalsound},Industrial Designer,164,636301,637021
0,{vocalsound},Project Manager,165,637221,637941
0,{vocalsound},Industrial Designer,166,638141,638861
0,That would be really {disfmarker} I'm sure we could do that for twenty five Euros a pop .,User Interface,167,639061,644401
0,Little homing device .,Project Manager,168,644601,645921
0,{vocalsound} {vocalsound} Um .,Project Manager,168,646121,647921
0,{vocalsound},Industrial Designer,169,648121,648841
0,{vocalsound} Yeah {vocalsound} .,User Interface,170,649041,650961
0,Uh .,User Interface,170,651161,651401
0,Okay .,Project Manager,171,651601,651961
0,So what do we think this remote control should {disfmarker} Five minutes .,Project Manager,171,652161,656601
0,Oh dear .,Marketing,172,656801,657341
0,Till the meeting {disfmarker} oh right .,Project Manager,173,657541,659941
0,This is what we have left .,Project Manager,173,660141,661761
0,"Um , oh we just {gap}",Project Manager,173,661961,663221
0,"I also think though that it shouldn't have too many buttons ,",User Interface,174,663421,667081
0,"Yeah , I agree .",Industrial Designer,175,667281,668241
0,'cause I hate that when they have too many buttons and {disfmarker},User Interface,176,668441,672461
0,Yeah .,Project Manager,177,672661,673021
0,"{vocalsound} B_ button and the F_ button , they don't do anything .",Industrial Designer,178,673221,677241
0,"Yeah , yeah yeah .",Marketing,179,677441,678521
0,"I mean I know it has to have enough functions but like , I don't know you , just have like eight thousand buttons and you're like , no , you never use half of them .",User Interface,180,678721,688621
0,So .,User Interface,180,688821,689061
0,"You {disfmarker} what if um may be a little fancy but what if it had like a little screen , so it has less buttons but it still has all the functions .",Project Manager,181,689261,698321
0,Like the way a mobile phone does .,Project Manager,181,698521,700561
0,That would be cool .,User Interface,182,700761,701961
0,Yeah .,Marketing,183,702161,702521
0,Yeah .,User Interface,184,702721,703081
0,I mean it just seems like {disfmarker},User Interface,184,703281,705561
0,"So you could like um {disfmarker} like if you have I dunno if you have satellite if you have a hundred channels , you can {disfmarker} the way you do it on your radio is that you uh {disfmarker}",Project Manager,185,705761,717401
0,yeah .,User Interface,186,717601,717961
0,what do you call it {disfmarker},Project Manager,187,718161,720081
0,Select .,Marketing,188,720281,720761
0,Uh .,Marketing,188,720961,721201
0,"s y yeah but you can programme , so you can programme like your favourite channels , so like if you had a s",Project Manager,189,721401,727821
0,"But , would you have the screen on the thing , or would you have it on the telly transmitting the screen .",Marketing,190,728021,734381
0,That's something we could decide .,Project Manager,191,734581,736621
0,Mm .,Project Manager,191,736821,737061
0,Because {disfmarker},Marketing,192,737261,738461
0,I guess they would go together somehow ?,User Interface,193,738661,741061
0,I dunno .,User Interface,193,741261,741801
0,"Because , I don't know if it's {disfmarker} {vocalsound} I think it's e expensive , if you have {disfmarker} if you use the telly screen , 'cause the telly's already a screen , then you can pro sort of have a programming function , really easy sort of arrow up and down , on the remote ,",Marketing,194,742001,759221
0,Yeah .,Project Manager,195,759421,759781
0,Yeah .,Project Manager,195,759981,760341
0,and then use the telly as a screen .,Marketing,196,760541,762701
0,Right .,Project Manager,197,762901,763321
0,But um {disfmarker},Marketing,198,763521,764661
0,I'm thinking kind of {disfmarker},User Interface,199,764861,766841
0,But yeah for sure .,Marketing,200,767041,768181
0,"Something like not {disfmarker} it's not on the button but it's telling you what to do ,",Marketing,200,768381,773661
0,Yeah .,Project Manager,201,773861,774221
0,is that what you mean ?,Marketing,202,774421,775801
0,Yeah .,Project Manager,203,776001,776361
0,Right .,Marketing,204,776561,776981
0,Mm .,Marketing,204,777181,777421
0,"Or like you h you see those you know people {disfmarker} I'm thinking of like celebrity cribs kind of things when like they have all those {disfmarker} these things that at their house you know {disfmarker} their their entire house is so electronic , and they have like this one master control that {disfmarker} and it's like a hand held like {disfmarker} turns on everything sort of control and it has like a screen and like {disfmarker} so I think it should be possible to have some kind of a screen , I don't know if {disfmarker} it must be {disfmarker} it would probably {disfmarker}",User Interface,205,777621,812841
0,Yeah .,Marketing,206,813041,813401
0,must be ex too expensive though t like I dunno .,User Interface,207,813601,816481
0,Mm .,Project Manager,208,816681,816921
0,But like mobile phones have screens and they're cheap .,Marketing,209,817121,820421
0,"Yeah , yeah .",User Interface,210,820621,821401
0,Yeah that's true .,User Interface,210,821601,822681
0,Yeah .,Project Manager,211,822881,823241
0,"I mean , we have to remember our budget is twelve point {disfmarker} twelve fifty for {disfmarker} to actually make the device .",Project Manager,211,823441,831121
0,Yeah .,Marketing,212,831321,831681
0,Mm .,User Interface,213,831881,832121
0,"Um but it's something to think about , yeah .",Project Manager,214,832321,835021
0,"Well , I guess we have to get to that later , yeah .",User Interface,215,835221,838341
0,I mean we'll have to see how much that would be .,Project Manager,216,838541,841481
0,{vocalsound},User Interface,217,841681,842401
0,Or some {disfmarker} it i we can find out probably on the internet {vocalsound} how much it's {disfmarker},Marketing,218,842601,848961
0,Yeah .,Project Manager,219,849161,849521
0,Um .,Marketing,220,849721,849961
0,"Yeah , and the other thing you said that thing about robust and water um {disfmarker}",Marketing,220,850161,855261
0,{vocalsound},Industrial Designer,221,855461,856181
0,What was the word ?,Marketing,222,856381,857521
0,Furry .,User Interface,223,857721,858141
0,Water resistant .,Marketing,224,858341,859361
0,Oh I was just {disfmarker} {vocalsound},Project Manager,225,859561,861901
0,{vocalsound},User Interface,226,862101,862821
0,"No but it's {disfmarker} I thought , ah , spot on .",Marketing,227,863021,866081
0,{vocalsound},Industrial Designer,228,866281,867001
0,"Good feel , tact tactile , good tactile feel ,",Marketing,229,867201,869961
0,Yeah .,Project Manager,230,870161,870521
0,maybe something didn doesn't make your hands sweat lot .,Marketing,231,870721,874081
0,Yeah .,User Interface,232,874281,874641
0,"Mm , mm .",User Interface,232,874841,875381
0,That's quite annoying .,Marketing,233,875581,876961
0,"Maybe um just like a simple thing to have a clip on it , like so you can clip it to your {disfmarker}",Project Manager,234,877161,883221
0,Yeah .,User Interface,235,883421,883781
0,like that's another {disfmarker},Project Manager,236,883981,885901
0,"Yeah , clip .",Marketing,237,886101,886881
0,Ooh {vocalsound} .,Marketing,237,887081,888161
0,Um .,Marketing,237,888361,888601
0,Um .,Project Manager,238,888801,889041
0,"We should probably start wrapping up , um we've got some initial ideas that we can all look into .",Project Manager,238,889241,895121
0,"Um , and come up with some new ones for the next meeting , which will be in another thirty minutes .",Project Manager,238,895321,901321
0,Um .,Project Manager,238,901521,901761
0,So .,Project Manager,238,901961,902201
0,Yeah .,Project Manager,238,902401,902761
0,"The Industrial Designer , what does that stand for , I_D_ ,",Project Manager,238,902961,906501
0,Yeah I think so .,Industrial Designer,239,906701,907721
0,yeah {vocalsound} um is going to be looking more into the working design .,Project Manager,240,907921,912361
0,So I guess you'd be looking at lots of the things we discussed about screen and um that sort of thing .,Project Manager,240,912561,918741
0,"The something , what is the U_I_ ?",Project Manager,240,918941,920981
0,User .,Industrial Designer,241,921181,921541
0,"Yeah , what does it stand for again ?",Project Manager,242,921741,923961
0,That's me .,User Interface,243,924161,924821
0,"Uh , User Interface design .",User Interface,243,925021,926701
0,User Interface Designer .,Project Manager,244,926901,928401
0,So that's gonna be more technical .,Project Manager,244,928601,930701
0,I guess that maybe the working design has also to do with like the physical feat like just the way it looks and the way it w,Project Manager,244,930901,938341
0,So technical function .,User Interface,245,938541,939921
0,The working design is the structure .,Industrial Designer,246,940121,942341
0,"Yeah , yeah .",Project Manager,247,942541,943321
0,What is technical functions exactl I I don't really know what {disfmarker},User Interface,248,943521,947961
0,"Um , I guess you'd have to find out {vocalsound} .",Project Manager,249,948161,951161
0,{vocalsound},Industrial Designer,250,951361,952081
0,{gap},User Interface,251,952281,952581
0,Um .,Industrial Designer,252,952781,953021
0,It says on that email but it {disfmarker},Marketing,253,953221,955681
0,It was in the email .,Industrial Designer,254,955881,957141
0,It does but it {disfmarker} I just don't really {disfmarker},User Interface,255,957341,960941
0,I wrote down what mine were .,Industrial Designer,256,961141,962881
0,It said um {disfmarker},Marketing,257,963081,964461
0,Yeah .,User Interface,258,964661,965021
0,It said {disfmarker},Marketing,259,965221,966421
0,"{vocalsound} What effect should the thing ha should it have , okay .",User Interface,260,966621,970701
0,Alright .,User Interface,260,970901,971441
0,Yeah,Marketing,261,971641,971881
0,And working design .,User Interface,262,972081,973281
0,like {disfmarker},Marketing,263,973481,974501
0,Okay .,User Interface,264,974701,975061
0,"Be a medium between you and the telly I think ,",Marketing,265,975261,978081
0,"Yeah , yeah .",User Interface,266,978281,979061
0,Alright .,User Interface,266,979261,979801
0,Mm .,Project Manager,267,980001,980241
0,that's uh {disfmarker},Marketing,268,980441,981761
0,"And how it works , okay .",User Interface,269,981961,983461
0,Right .,User Interface,269,983661,984081
0,I'm I'm on task .,User Interface,269,984281,985301
0,"And the M_E_ , what does that stand for {vocalsound} ?",Project Manager,270,985501,988741
0,M,Project Manager,270,988941,989001
0,Marketing .,Industrial Designer,271,989201,989861
0,"Marketing , right .",Project Manager,272,990061,991201
0,Um {vocalsound} .,Project Manager,272,991401,992421
0,Marketing .,Marketing,273,992621,993281
0,"Oh it's written here , but um .",Marketing,273,993481,995341
0,"So we'll be working on the user requirements , um {disfmarker} Yeah .",Project Manager,274,995541,999681
0,Okay .,Marketing,275,999881,1000241
0,So I guess that wraps it up .,Project Manager,276,1000441,1002181
0,I'll see you all in thirty minutes .,Project Manager,276,1002381,1004541
0,I just did .,Project Manager,276,1004741,1005461
1,That's the same as uh on the top of it uh with the the round uh button .,User Interface,1,1,4321
1,Like this one .,Industrial Designer,2,4521,5421
1,"But uh we don't uh we don't uh {disfmarker} we do think it's um well {disfmarker} what if with ease of use , w which prefers the {disfmarker} which the the customer of the user prefers .",User Interface,3,5621,16781
1,It's important .,Industrial Designer,4,16981,17941
1,Uh I think th this is device which which has a learning curve .,Industrial Designer,4,18141,21921
1,Um novice users u use this device as uh normal users use uh a c a remote control .,Industrial Designer,4,22121,27041
1,"And after a while they start to develop uh some skills in the the voice recognition functions , and then they will not use this dial as often .",Industrial Designer,4,27241,35821
1,But other users who are new to this device need something like that .,Industrial Designer,4,36021,40161
1,Okay .,Project Manager,5,40361,40721
1,"They n they need to understand what {disfmarker} uh how to change channels and uh change the volume , so it's easier for them",Industrial Designer,6,40921,48421
1,Could could I see the scroll bar as uh as as a sort of shortcut ?,Project Manager,7,48621,52521
1,"A a and the voice recognition as well ,",Project Manager,7,52721,55061
1,"Yeah , maybe so .",Industrial Designer,8,55261,56281
1,"Yes , it's {disfmarker}",Industrial Designer,8,56481,57861
1,th maybe you could uh could uh {disfmarker},Project Manager,9,58061,60641
1,"Well , it's it's it's another approach , it's more that our um {gap} .",Industrial Designer,10,60841,65041
1,{vocalsound} There are there are many ways of doing uh things uh on such a device .,Industrial Designer,10,65241,70221
1,{vocalsound} Yeah .,Project Manager,11,70421,71561
1,It's it's quite easy .,Industrial Designer,12,71761,73081
1,Okay .,Project Manager,13,73281,73641
1,"Okay , good .",Project Manager,13,73841,74621
1,And and the case is is rubber ?,Project Manager,13,74821,76681
1,"Yes , rubber ?",Industrial Designer,14,76881,77721
1,And the buttons ?,Project Manager,15,77921,78941
1,{vocalsound} Plastic or rubber .,User Interface,16,79141,81061
1,{vocalsound} There are plastic or rubber .,Industrial Designer,17,81261,83781
1,"Well ,",User Interface,18,83981,84341
1,"Okay ,",Project Manager,19,84541,84901
1,yeah .,User Interface,20,85101,85461
1,and uh the colouring ?,Project Manager,21,85661,86981
1,Uh yellow with uh,Industrial Designer,22,87181,88201
1,{gap} with with grey or black .,Project Manager,23,88401,90261
1,grey or black or something like that .,Industrial Designer,24,90461,92741
1,Whatever cost uh cost uh the least .,Industrial Designer,24,92941,95101
